CBAFT,SRC
CBAT,CBC
CBCT,CBC
CBET,CBC
CBFT,SRC
CBHT,CBC
CBKFT,SRC
CBKT,CBC
CBLFT,SRC
CBLT,CBC
CBMT,CBC
CBNT,CBC
CBOFT,SRC
CBOT,CBC
CBRT,CBC
CBUFT,SRC
CBUT,CBC
CBVT,SRC
CBWFT,SRC
CBWT,CBC
CBXFT,SRC
CBXT,CBC
CFAP,V
CFCF,CTV
CFCM,TVA
CFCN,CTV
CFCN,CTV
CFEM,TVA affiliate
CFGS,V affiliate
CFJP,V
CFKM,V
CFKS,V
CFMT,Omni
CFPL,CTV Two
CFQC,CTV
CFRE,Global
CFRN,CTV
CFRS,V
CFSK,Global
CFTF,V affiliate
CFTM,TVA
CFTO,CTV
CFTU,Independent French
CFTV,Independent
CFVS,V affiliate
CFYK,CBC
CHAN,Global
CHAU,TVA affiliate
CHBC,Global
CHCH,Independent
CHEK,Independent
CHEM,TVA
CHEX,CBC affiliate
CHFD,Global affiliate
CHLT,TVA
CHMI,City
CHNM,Omni
CHNU,ZoomerMedia
CHOT,TVA affiliate
CHRO,CTV Two
CHWI,CTV Two
CICA,Independent
CICT,Global
CIHF,Global
CIHF,Global
CIII,Global
CIIT,ZoomerMedia
CIMT,TVA affiliate
CISA,Global
CITL,CTV affiliate
CITS,CTS
CITV,Global
CITY,Citytv
CIVI,CTV Two
CIVM,Télé-Québec
CIVT,CTV
CJBR,SRC
CJCH,CTV
CJCO,Omni
CJEO,Omni
CJIL,Independent
CJMT,Omni
CJNT,CIty
CJOH,CTV
CJON,Independent
CJPM,TVA
CKAL,City
CKCK,CTV
CKCO,CTV
CKCS,CTS
CKCW,CTV
CKEM,City
CKES,CTS
CKLT,CTV
CKMI,Global
CKND,Global
CKND,Global
CKPR,CTV
CKRN,SRC affiliate
CKRT,SRC affiliate
CKSA,CBC affiliate
CKSH,SRC
CKTM,SRC
CKTV,SRC
CKVR,CTV Two
CKVU,City
CKWS,CBC affiliate
CKY,CTV
